time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.0,0.018359508902822667,10.04091660593006,0.8923680815224149,0.0,0.0,0.0,1.0271933976402778,1.1304884980219816,10.818055942632736,0.0,0.0,900.0,900.0,4.923011601931648e-06,900.0
0.12000000000000001,0.0,0.09978388638788557,10.132067943564124,1.2278153669970298,0.0,0.0,0.0,0.8900271633076677,1.3615390802398448,19.278899431920628,0.0,0.0,900.0,900.0,5.124837116454728e-06,900.0
0.18,0.0,0.170797145038821,10.195482062774555,0.6341115662692083,0.0,0.0,0.0,0.6933427339285559,0.9500765682620409,24.354451573770802,0.0,0.0,900.0,900.0,2.805839130815002e-06,900.0
0.23999999999999996,0.0,0.25991919214991427,10.255723351599812,3.2632232835192383,0.0,0.0,0.0,2.267795556169719,0.2668014138527154,26.880193414151897,0.0,0.0,900.0,900.0,6.461063549068058e-06,900.0
0.3,0.0,0.36919244355059244,10.200873664140836,5.12713836581708,0.0,0.0,0.0,0.9543737774023235,-1.6987681894901883,28.011863128398307,0.0,0.0,900.0,900.0,3.3821520446508657e-06,900.0
0.36000000000000004,0.0,0.3812716705969901,10.121568224158878,0.5770013391480724,0.0,0.0,0.0,-0.10601919573175453,-0.6538858463161279,28.49397179098421,0.0,0.0,900.0,900.0,3.1008742098492803e-06,900.0
0.4200000000000001,0.0,0.42204311307821374,10.103098446463878,2.2985373943655016,0.0,0.0,0.0,1.6801963683711498,-0.4441862236191618,28.69484045906459,0.0,0.0,900.0,900.0,1.1762610938603757e-06,900.0
0.48000000000000015,0.0,0.5537210376883874,10.006582769352127,4.023419407317103,0.0,0.0,0.0,2.202287213246275,-2.914426065762466,28.777747930988568,0.0,0.0,900.0,900.0,4.566486950352555e-06,900.0
0.5400000000000001,0.0,0.6296462848047869,9.791140963747102,5.751103649588805,0.0,0.0,0.0,0.26863629269211653,-3.7413124570575365,28.811834069616644,0.0,0.0,900.0,900.0,4.681095106207067e-06,900.0
0.6000000000000002,0.0,0.632621663097188,9.607452153702535,1.1969973202089514,0.0,0.0,0.0,0.3551630923902917,-2.400756158155983,28.825825503446715,0.0,0.0,900.0,900.0,6.252132607187377e-06,900.0
0.6600000000000003,0.0,0.714420002089483,9.449791082233984,2.9266898495189224,0.0,0.0,0.0,2.260864397032091,-3.3716044436988675,28.83156480582133,0.0,0.0,900.0,900.0,1.1327327229082584e-05,900.0
0.7200000000000003,0.0,0.844486420132195,9.17014041468145,4.656640977377599,0.0,0.0,0.0,1.5854701932088473,-5.777913922093288,28.833918434725273,0.0,0.0,900.0,900.0,1.3912083886680193e-05,900.0
0.7800000000000004,-1.4132798496346882e-10,0.8812322526442644,8.819679452944943,0.10351401106209579,6.033294308593895e-08,0.0,-1.413207398467918e-08,-0.09107333495958403,-5.450616794521268,28.834883526183102,3.016571303732004e-06,0.0,899.9998779296875,900.0,2.0477287762332708e-05,900.0
0.8400000000000004,-7.164903489714515e-09,0.8997074102960717,8.529000974574465,1.8336165098109394,3.0166016173893695e-07,0.0,-2.8957249594211294e-07,1.1193589515992404,-4.5480338968599865,28.83527923807957,6.033142404632507e-06,0.0,899.9998779296875,900.0,4.801437899004668e-05,900.0
0.9000000000000005,-4.8498396589247426e-08,1.0172774789977077,8.206773053826065,3.563737147336319,7.843827400932923e-07,0.0,-1.2129108326375212e-06,2.4033129899545216,-6.530456273618921,28.835441486920807,1.2070077243849583e-05,0.0,899.999755859375,900.0,7.843221101211384e-05,900.0
0.9600000000000005,-1.8089490151383257e-07,1.1223025480850843,7.752209288887192,5.293865227615118,1.6595546235009806e-06,0.0,-3.4705628360908593e-06,0.7984218750469929,-8.206079235907183,28.835508011289807,1.9616046018640707e-05,0.0,899.9996948242188,900.0,0.0001287256891373545,900.0
1.0200000000000005,-5.063307769591267e-07,1.133113586691918,7.285958386851193,0.7408110532814192,3.108039330790291e-06,0.0,-7.739088287636745e-06,0.034274442145599826,-7.139000590599871,28.835535287156283,3.3190605783129706e-05,0.0,899.9994506835938,900.0,0.0002469839819241315,900.0
1.0800000000000005,-1.1949530321351793e-06,1.1864224484068293,6.870218595869618,2.4709434378764303,5.310653922840913e-06,0.0,-1.591923238233865e-05,1.8897771560716643,-7.211921319686856,28.835546470605927,4.375594918592702e-05,0.0,899.9995727539062,900.0,0.0001997872459469363,900.0
1.1400000000000006,-2.5077030023784563e-06,1.3201195849743221,6.367105270155798,4.201076335730686,9.566289193685407e-06,0.0,-2.889543776803482e-05,2.0786680946273193,-9.613310275609926,28.835551055959062,0.00012522509936241673,0.0,899.9967041015625,900.0,0.0015907206106930971,900.0
1.2000000000000006,-4.956965716559534e-06,1.3868399700148204,5.757174927386068,5.931209444032028,2.0252125270125987e-05,0.0,-5.52811177302233e-05,0.1753532861074747,-10.200343596018055,28.835552936010338,0.0002836132364413814,0.0,899.9935913085938,900.0,0.003420964814722538,900.0
1.2600000000000007,-9.652308114546582e-06,1.3951326687114647,5.181148946423605,1.3781573314404199,4.331715985816942e-05,0.0,-0.00010805279889941159,0.5720037258400422,-9.069844250336452,28.835553706854455,0.0005852662797451641,0.0,899.98779296875,900.0,0.006786281242966652,900.0
1.3200000000000007,-1.9386420160113604e-05,1.488738019108014,4.615579812367403,3.1082905614071024,0.00010687864657299428,0.0,-0.00022855263608200622,2.3285525610913487,-10.253356728734591,28.83555402291,0.001991218382026047,0.0,899.943115234375,900.0,0.03463783487677574,900.0
